"","mean","SD","N","device","agecat","Test"
"1",2.64074271065848,0.698318535609554,7,"browser","10-13","stroop_reaction_time_incongruent_median"
"2",2.1168044449447,0.504157597368793,77,"browser","14-18","stroop_reaction_time_incongruent_median"
"3",2.0912005545079,0.393512846159939,87,"browser","19-35","stroop_reaction_time_incongruent_median"
"4",2.43645095825195,0.316657050319336,16,"browser","36-50","stroop_reaction_time_incongruent_median"
"5",2.97205977006392,0.942390230657694,33,"browser","51-65","stroop_reaction_time_incongruent_median"
"6",3.13794189453125,0.793354018783128,25,"browser","66-120","stroop_reaction_time_incongruent_median"
"7",2.77378258338341,0.746290903749799,13,"iPad","10-13","stroop_reaction_time_incongruent_median"
"8",2.09339079015395,0.489760715067919,170,"iPad","14-18","stroop_reaction_time_incongruent_median"
"9",1.92530901004107,0.391394415250585,117,"iPad","19-35","stroop_reaction_time_incongruent_median"
"10",2.09867431640625,0.469248520060974,25,"iPad","36-50","stroop_reaction_time_incongruent_median"
"11",2.57866133020279,0.517925386750716,47,"iPad","51-65","stroop_reaction_time_incongruent_median"
"12",3.18743498429008,0.998059194708035,92,"iPad","66-120","stroop_reaction_time_incongruent_median"
"13",2.4339599609375,NA,1,"iPhone","14-18","stroop_reaction_time_incongruent_median"
"14",1.88998021834936,0.419585332236089,39,"iPhone","19-35","stroop_reaction_time_incongruent_median"
"15",2.09820556640625,0.593820591544922,16,"iPhone","36-50","stroop_reaction_time_incongruent_median"
"16",2.60875244140625,0.369253489818323,10,"iPhone","51-65","stroop_reaction_time_incongruent_median"
"17",3.37862689678486,0.760193284349563,13,"iPhone","66-120","stroop_reaction_time_incongruent_median"
"18",2.41352408272879,0.583990624531126,7,"browser","10-13","digit_symbol_duration_median"
"19",1.91928318568638,0.244131730955573,77,"browser","14-18","digit_symbol_duration_median"
"20",1.9638882341056,0.264702311436337,87,"browser","19-35","digit_symbol_duration_median"
"21",2.51902008056641,0.610253382860777,16,"browser","36-50","digit_symbol_duration_median"
"22",3.05353430545691,2.13586790939707,33,"browser","51-65","digit_symbol_duration_median"
"23",3.32680053710937,1.55228817369635,25,"browser","66-120","digit_symbol_duration_median"
"24",2.17054161658654,0.470434189737549,13,"iPad","10-13","digit_symbol_duration_median"
"25",1.80009864358341,0.246957801722525,170,"iPad","14-18","digit_symbol_duration_median"
"26",1.68726176183364,0.235971536038884,119,"iPad","19-35","digit_symbol_duration_median"
"27",1.92370096842448,0.372129707387126,24,"iPad","36-50","digit_symbol_duration_median"
"28",4.62623307511613,8.80088035550041,37,"iPad","51-65","digit_symbol_duration_median"
"29",3.69448129754317,2.66889196981081,76,"iPad","66-120","digit_symbol_duration_median"
"30",1.933349609375,NA,1,"iPhone","14-18","digit_symbol_duration_median"
"31",1.67386803260216,0.220242209815182,39,"iPhone","19-35","digit_symbol_duration_median"
"32",1.87233352661133,0.314681329686213,16,"iPhone","36-50","digit_symbol_duration_median"
"33",2.53001708984375,0.944134680275472,10,"iPhone","51-65","digit_symbol_duration_median"
"34",3.46161827674279,1.37309614680198,13,"iPhone","66-120","digit_symbol_duration_median"
"35",19.7142857142857,0.487950036474267,7,"browser","10-13","immediate_recall_correct"
"36",19.2727272727273,1.05924953121443,77,"browser","14-18","immediate_recall_correct"
"37",18.8735632183908,1.31010915310519,87,"browser","19-35","immediate_recall_correct"
"38",18.375,1.96214168703486,16,"browser","36-50","immediate_recall_correct"
"39",18.8181818181818,0.950478348469385,33,"browser","51-65","immediate_recall_correct"
"40",18.32,1.72530190594767,25,"browser","66-120","immediate_recall_correct"
"41",18.5384615384615,2.43636972479495,13,"iPad","10-13","immediate_recall_correct"
"42",19.1882352941176,1.24029122030795,170,"iPad","14-18","immediate_recall_correct"
"43",19.2,1.41777432393645,120,"iPad","19-35","immediate_recall_correct"
"44",18.6,2.06155281280883,25,"iPad","36-50","immediate_recall_correct"
"45",18.8723404255319,1.11544534441349,47,"iPad","51-65","immediate_recall_correct"
"46",18.2934782608696,1.8842204408858,92,"iPad","66-120","immediate_recall_correct"
"47",19,NA,1,"iPhone","14-18","immediate_recall_correct"
"48",19.2820512820513,1.1227015807445,39,"iPhone","19-35","immediate_recall_correct"
"49",18.375,1.82117178395303,16,"iPhone","36-50","immediate_recall_correct"
"50",18.8,1.13529242439509,10,"iPhone","51-65","immediate_recall_correct"
"51",18.5384615384615,0.967417922046845,13,"iPhone","66-120","immediate_recall_correct"
"52",18.5714285714286,1.71824938596845,7,"browser","10-13","delayed_recall_correct"
"53",18.6753246753247,1.47292725408639,77,"browser","14-18","delayed_recall_correct"
"54",17.9540229885057,2.25113948395242,87,"browser","19-35","delayed_recall_correct"
"55",17.5625,2.12818388929779,16,"browser","36-50","delayed_recall_correct"
"56",18.1515151515152,1.66059500106912,33,"browser","51-65","delayed_recall_correct"
"57",17.44,2.58327956933301,25,"browser","66-120","delayed_recall_correct"
"58",17.8461538461538,2.26738299389972,13,"iPad","10-13","delayed_recall_correct"
"59",18.3705882352941,2.03468873093981,170,"iPad","14-18","delayed_recall_correct"
"60",18.6,1.80289216762047,120,"iPad","19-35","delayed_recall_correct"
"61",18.68,2.01494416796099,25,"iPad","36-50","delayed_recall_correct"
"62",18,1.60162960490381,47,"iPad","51-65","delayed_recall_correct"
"63",17.2717391304348,2.31622685251211,92,"iPad","66-120","delayed_recall_correct"
"64",18,NA,1,"iPhone","14-18","delayed_recall_correct"
"65",18.6923076923077,1.25977955786437,39,"iPhone","19-35","delayed_recall_correct"
"66",17.4375,1.78768938390687,16,"iPhone","36-50","delayed_recall_correct"
"67",18.5,1.26929551764398,10,"iPhone","51-65","delayed_recall_correct"
"68",16.3846153846154,1.26085034391223,13,"iPhone","66-120","delayed_recall_correct"
"69",154.649458078238,138.018207207359,13,"iPad","10-13","balance_mean_distance_from_center"
"70",52.2853661937826,57.0854299497,169,"iPad","14-18","balance_mean_distance_from_center"
"71",61.0170999571335,54.5899878570508,86,"iPad","19-35","balance_mean_distance_from_center"
"72",91.3283206939697,55.4983632434264,10,"iPad","36-50","balance_mean_distance_from_center"
"73",131.922303771973,101.538883738389,15,"iPad","51-65","balance_mean_distance_from_center"
"74",160.215005000432,85.9990649482481,24,"iPad","66-120","balance_mean_distance_from_center"
"75",91.8465194702148,NA,1,"iPhone","14-18","balance_mean_distance_from_center"
"76",69.9401781935441,82.8356152663452,38,"iPhone","19-35","balance_mean_distance_from_center"
"77",68.4429815411568,74.3795042636056,16,"iPhone","36-50","balance_mean_distance_from_center"
"78",101.710224914551,74.5707896820333,10,"iPhone","51-65","balance_mean_distance_from_center"
"79",172.768335489126,124.889949853774,13,"iPhone","66-120","balance_mean_distance_from_center"
"80",2.62250707830702,1.13817722892608,7,"browser","10-13","trails_b_duration_mean"
"81",1.86130278218876,0.550687585165247,77,"browser","14-18","trails_b_duration_mean"
"82",1.79061119172765,0.539549758748051,87,"browser","19-35","trails_b_duration_mean"
"83",2.14428616315126,0.763981838724836,16,"browser","36-50","trails_b_duration_mean"
"84",2.49134158726895,1.00710849490985,33,"browser","51-65","trails_b_duration_mean"
"85",2.84651492118835,1.22414820300561,25,"browser","66-120","trails_b_duration_mean"
"86",2.84126363350795,1.05769621911494,13,"iPad","10-13","trails_b_duration_mean"
"87",1.91962051777279,0.569924319995785,170,"iPad","14-18","trails_b_duration_mean"
"88",1.56929026478391,0.448439864721209,120,"iPad","19-35","trails_b_duration_mean"
"89",1.76169487476349,0.733255188639368,25,"iPad","36-50","trails_b_duration_mean"
"90",2.32766683811837,0.799398256616569,47,"iPad","51-65","trails_b_duration_mean"
"91",4.00148725639219,2.94903050505217,92,"iPad","66-120","trails_b_duration_mean"
"92",2.0936119556427,NA,1,"iPhone","14-18","trails_b_duration_mean"
"93",1.49499638111163,0.397392884311175,39,"iPhone","19-35","trails_b_duration_mean"
"94",1.68346400931478,0.473315549300627,16,"iPhone","36-50","trails_b_duration_mean"
"95",2.48251414299011,0.485741755072386,10,"iPhone","51-65","trails_b_duration_mean"
"96",3.61564674744239,2.4584653919066,13,"iPhone","66-120","trails_b_duration_mean"
"97",0.97528076171875,0.288262689108376,7,"browser","10-13","flanker_reaction_time_correct_median"
"98",0.677362119996702,0.297728320559474,77,"browser","14-18","flanker_reaction_time_correct_median"
"99",0.69049212576329,0.267160686917581,87,"browser","19-35","flanker_reaction_time_correct_median"
"100",0.805244445800781,0.192040491123616,16,"browser","36-50","flanker_reaction_time_correct_median"
"101",0.907953435724432,0.386071212201864,33,"browser","51-65","flanker_reaction_time_correct_median"
"102",0.912952880859375,0.303728280088483,25,"browser","66-120","flanker_reaction_time_correct_median"
"103",1.12398118239183,0.404004082634463,13,"iPad","10-13","flanker_reaction_time_correct_median"
"104",0.834775902243222,0.241104697711505,170,"iPad","14-18","flanker_reaction_time_correct_median"
"105",0.794892231159382,0.18678611857595,111,"iPad","19-35","flanker_reaction_time_correct_median"
"106",0.939966837565104,0.299185151345466,18,"iPad","36-50","flanker_reaction_time_correct_median"
"107",1.22656576974051,0.30893963445737,28,"iPad","51-65","flanker_reaction_time_correct_median"
"108",1.6030421022509,0.553200971097352,61,"iPad","66-120","flanker_reaction_time_correct_median"
"109",0.932373046875,NA,1,"iPhone","14-18","flanker_reaction_time_correct_median"
"110",0.760073930789263,0.166917506046382,39,"iPhone","19-35","flanker_reaction_time_correct_median"
"111",0.860371589660645,0.223390498664123,16,"iPhone","36-50","flanker_reaction_time_correct_median"
"112",1.111328125,0.349820244511404,10,"iPhone","51-65","flanker_reaction_time_correct_median"
"113",1.45198763333834,0.435705380908918,13,"iPhone","66-120","flanker_reaction_time_correct_median"
